X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de0d02834ae4512fd68a7,2012,2,5,4,1,2,7,07:00.0,2,1,5,3,7,2,1,2012
5d2de1612834ae4512fee420,2010,12,53,6,31,23,30,30:00.0,12,4,52,5,30,23,31,2010
5d2de1612834ae4512fee421,2010,12,53,6,31,23,50,50:00.0,12,4,52,5,50,23,31,2010
5d2de1612834ae4512fee43d,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1612834ae4512fee440,2011,1,1,7,1,1,14,14:00.0,1,1,52,6,14,1,1,2011
5d2de1612834ae4512fee441,2011,1,1,7,1,1,17,17:00.0,1,1,52,6,17,1,1,2011
5d2de1612834ae4512fee445,2011,1,1,7,1,2,17,17:00.0,1,1,52,6,17,2,1,2011
5d2de1612834ae4512fee448,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1612834ae4512fee47d,2010,12,53,6,31,22,38,38:00.0,12,4,52,5,38,22,31,2010
5d2de1612834ae4512fee47e,2010,12,53,6,31,23,49,49:00.0,12,4,52,5,49,23,31,2010
5d2de1612834ae4512fee47f,2011,1,1,7,1,1,3,03:00.0,1,1,52,6,3,1,1,2011
5d2de1612834ae4512fee480,2011,1,1,7,1,2,13,13:00.0,1,1,52,6,13,2,1,2011
5d2de1622834ae4512fee848,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1622834ae4512fee873,2011,1,2,1,9,3,4,04:00.0,1,1,1,7,4,3,9,2011
5d2de1632834ae4512fee8ac,2011,1,2,7,8,2,14,14:00.0,1,1,1,6,14,2,8,2011
5d2de1632834ae4512fee902,2011,1,2,1,9,2,59,59:00.0,1,1,1,7,59,2,9,2011
5d2de1632834ae4512fee93a,2011,1,2,2,10,0,38,38:00.0,1,1,2,1,38,0,10,2011
5d2de1632834ae4512fee968,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1632834ae4512fee971,2011,1,2,2,10,0,30,30:00.0,1,1,2,1,30,0,10,2011
5d2de1632834ae4512fee972,2011,1,2,2,10,0,41,41:00.0,1,1,2,1,41,0,10,2011
5d2de1632834ae4512fee993,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1632834ae4512fee9b6,2011,1,2,3,11,2,27,27:00.0,1,1,2,2,27,2,11,2011
5d2de1632834ae4512fee9d7,2011,1,2,3,11,0,1,01:00.0,1,1,2,2,1,0,11,2011
5d2de1632834ae4512feea2e,2011,1,2,3,11,1,55,55:00.0,1,1,2,2,55,1,11,2011
5d2de1632834ae4512feea92,2011,1,2,4,12,5,54,54:00.0,1,1,2,3,54,5,12,2011
5d2de1642834ae4512feeac1,2011,1,2,4,12,0,42,42:00.0,1,1,2,3,42,0,12,2011
5d2de1642834ae4512feeac9,2011,1,2,4,12,0,59,59:00.0,1,1,2,3,59,0,12,2011
5d2de1642834ae4512feeaf9,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1642834ae4512feeb43,2011,1,1,3,4,0,59,59:00.0,1,1,1,2,59,0,4,2011
5d2de1642834ae4512feeb45,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de1642834ae4512feeb4d,2011,1,1,1,2,15,28,28:00.0,1,1,52,7,28,15,2,2011
5d2de1642834ae4512feeb51,2011,1,1,1,2,23,27,27:00.0,1,1,52,7,27,23,2,2011
