acType,Model,Aircraft Type Designator,Class,ICAO WTC,Climb,Svc Ceiling ft,,
A10,A-10 Thunderbolt 2,A10,Landplane,Medium,4800,45000,,
"A10, FAIRCHILD (1), A-10 Thunderbolt 2",A-10 Thunderbolt 2,A10,Landplane,Medium,4800,45000,,
"A10, FAIRCHILD (1), Thunderbolt 2",A-10 Thunderbolt 2,A10,Landplane,Medium,4800,45000,,
A109,A-109,A109,Helicopter,Light,1600,20000,,
"A109, AGUSTA, A-109",A-109,A109,Helicopter,Light,1600,20000,,
"A109, AGUSTA, A-109 Grand",A-109 Grand,A109,Helicopter,Light,1600,20000,,
"A109, AGUSTA, A-109 Power",A-109 Power,A109,Helicopter,Light,1600,20000,,
"A109,A-109",A-109,A109,Helicopter,Light,1600,20000,,
A119,A-119 Koala,A119,Helicopter,Light,1500,20000,,
"A119, AGUSTA, A-119 Koala",A-119 Koala,A119,Helicopter,Light,1500,20000,,
"A119, AGUSTA, AW-119 Koala",AW-119 Koala,A119,Helicopter,Light,1500,20000,,
"A119, AGUSTA, Koala",A-119 Koala,A119,Helicopter,Light,1500,20000,,
AW119,AW-119 Koala,A119,Helicopter,Light,1500,20000,,
"A124, ANTONOV, An-124 Ruslan",An-124 Ruslan,A124,Landplane,Heavy,2200,39400,,
A139,AW-139,A139,Helicopter,Light,1700,20000,,
"A139, AGUSTA, AB-139",AB-139,A139,Helicopter,Light,1700,20000,,
"A139, BELL-AGUSTA, AB-139",AB-139,A139,Helicopter,Light,1700,20000,,
A20,A-20 Havoc,A20,Landplane,Medium,1100,23700,,
A20N,A-320neo,A20N,Landplane,Medium,,41000,,
A21N,A-321neo,A21N,Landplane,Medium,,41000,,
A21N Airbus A321neo,A-321neo,A21N,Landplane,Medium,,41000,,
"A21N, Airbus, A321neo",A-321neo,A21N,Landplane,Medium,,41000,,
a300,A-300B4-600,A306,Landplane,Heavy,3000,40000,,
A306,A-300B4-600,A306,Landplane,Heavy,3000,40000,,
A306 AIRBUS A-300C4-600,A-300C4-600,A306,Landplane,Heavy,3000,40000,,
"A306, AIRBUS, A-300B4-600",A-300B4-600,A306,Landplane,Heavy,3000,40000,,
"A306, AIRBUS, A-300C4-600",A-300C4-600,A306,Landplane,Heavy,3000,40000,,
"A306, AIRBUS, A-300F4-600",A-300C4-600,A306,Landplane,Heavy,3000,40000,,
"A306,A-300C4-600",A-300C4-600,A306,Landplane,Heavy,3000,40000,,
A308,A-300B4-600,A306,Landplane,Heavy,3000,40000,,
"A30B, AIRBUS, A-300B2",A-300B2,A30B,Landplane,Heavy,3000,40000,,
"A31, AVANTAGE, A-31 Spectrum",A-31 Spectrum,A31,Landplane,Light,1000,14400,,
A310 AIRBUS A-310,A-310,A310,Landplane,Heavy,3000,41000,,
"A310, AIRBUS, A-310",A-310,A310,Landplane,Heavy,3000,41000,,
"A318, AIRBUS, A-318",A-318,A318,Landplane,Medium,3500,41000,,
A319,A-319,A319,Landplane,Medium,3500,41000,,
A319 AIRBUS A-319 ACJ,A-319 ACJ,A319,Landplane,Medium,3500,41000,,
"A319, AIRBUS, A-319",A-319,A319,Landplane,Medium,3500,41000,,
"A319, AIRBUS, A-319 ACJ",A-319 ACJ,A319,Landplane,Medium,3500,41000,,
"A319, AIRBUS, VC-1 ACJ",A-319 ACJ,A319,Landplane,Medium,3500,41000,,
"A319,A-319 ACJ",A-319 ACJ,A319,Landplane,Medium,3500,41000,,
a320,A-320,A320,Landplane,Medium,3500,39800,,
A320 AIRBUS A-320,A-320,A320,Landplane,Medium,3500,39800,,
"A320, AIRBUS, A-320",A-320,A320,Landplane,Medium,3500,39800,,
"A320,A-320",A-320,A320,Landplane,Medium,3500,39800,,
a321,A-321,A321,Landplane,Medium,3500,39800,,
A321 AIRBUS A-321,A-321,A321,Landplane,Medium,3500,39800,,
"A321, AIRBUS, A-321",A-321,A321,Landplane,Medium,3500,39800,,
"A321,A-321",A-321,A321,Landplane,Medium,3500,39800,,
A330,A-330-200,A332,Landplane,Heavy,3000,41300,,
A3306,A-330-200,A332,Landplane,Heavy,3000,41300,,
A332,A-330-200,A332,Landplane,Heavy,3000,41300,,
A332 AIRBUS A-330-200,A-330-200,A332,Landplane,Heavy,3000,41300,,
"A332, AIRBUS, A-330-200",A-330-200,A332,Landplane,Heavy,3000,41300,,
"A333, AIRBUS, A-330-300",A-330-300,A333,Landplane,Heavy,3000,41300,,
"A333,A-330-300",A-330-300,A333,Landplane,Heavy,3000,41300,,
A339,A-330-900,A339,Landplane,Heavy,,,,
"A342, AIRBUS, A-340-200",A-340-200,A342,Landplane,Heavy,3000,41100,,
A343,A-340-300,A343,Landplane,Heavy,3000,41100,,
"A343, AIRBUS, A-340-300",A-340-300,A343,Landplane,Heavy,3000,41100,,
"A346, AIRBUS, A-340-600",A-340-300,A343,Landplane,Heavy,3000,41100,,
A350,A-350-900 XWB,A359,Landplane,Heavy,,43000,,
A359,A-350-900 XWB,A359,Landplane,Heavy,,43000,,
"A359, Airbus, A-359",A-350-900 XWB,A359,Landplane,Heavy,,43000,,
A35K,A-350-1000 XWB,A35K,Landplane,Heavy,,,,
A388,A-380-800,A388,Landplane,Heavy,3000,43000,,
"A388, AIRBUS, A-380-800",A-380-800,A388,Landplane,Heavy,3000,43000,,
"A6, GRUMMAN, A-6 Intruder",A-6 Intruder,A6,Landplane,Medium,7500,41200,,
AA1,AA-1 Tr2,AA1,Landplane,Light,600,13800,,
AA5,AA-5 Traveler,AA5,Landplane,Light,700,13800,,
"AA5, AMERICAN GENERAL, AG-5 Tiger",AG-5 Tiger,AA5,Landplane,Light,700,13800,,
"AA5, AMERICAN, AA-5 Traveler",AA-5 Traveler,AA5,Landplane,Light,700,13800,,
"AA5, GRUMMAN AMERICAN, AA-5 Traveler",AA-5 Traveler,AA5,Landplane,Light,700,13800,,
"AA5, GULFSTREAM AMERICAN, Cheetah",Cheetah,AA5,Landplane,Light,700,13800,,
AC11,Commander 114,AC11,Landplane,Light,900,25000,,
"AC11, COMMANDER, Commander 114",Commander 114,AC11,Landplane,Light,900,25000,,
AC50,Commander 500,AC50,Landplane,Light,1100,19400,,
AC50 AERO (1) Commander 500,Commander 500,AC50,Landplane,Light,1100,19400,,
"AC50, AERO (1), Commander 500",Commander 500,AC50,Landplane,Light,1100,19400,,
"AC56, AERO (1), Commander 560",Commander 560,AC56,Landplane,Light,1400,19400,,
"AC68, AERO COMMANDER, Commander 680FP",Commander 680FP,AC68,Landplane,Light,1200,25000,,
"AC6L, ROCKWELL, Commander 685",Commander 685,AC6L,Landplane,Light,1200,25000,,
AC90,690 Jetprop Commander 840,AC90,Landplane,Light,2300,33000,,
"AC90, GULFSTREAM AEROSPACE, 690 Jetprop Commander 840",690 Jetprop Commander 840,AC90,Landplane,Light,2300,33000,,
"AC90, GULFSTREAM AEROSPACE, Jetprop Commander 900",690 Jetprop Commander 900,AC90,Landplane,Light,2300,33000,,
AC95,695 Jetprop Commander 1000,AC95,Landplane,Light,2200,35000,,
"AC95, GULFSTREAM AEROSPACE, 695 Jetprop Commander 1000",695 Jetprop Commander 1000,AC95,Landplane,Light,2200,35000,,
"AE45, AERO (2), 45",45,AE45,Landplane,Light,800,19400,,
"AEST, AEROSTAR (1), 600",600,AEST,Landplane,Light,1500,28000,,
"AEST, PIPER, Aerostar",Aerostar,AEST,Landplane,Light,1500,28000,,
PA60,PA-60 Aerostar,AEST,Landplane,Light,1500,28000,,
"PA60, PIPER, AEROSTAR",PA-60 Aerostar,AEST,Landplane,Light,1500,28000,,
"AG02, GATARD, Poussin",Poussin,AG02,Landplane,Light,400,,,
"AJET, AOI, Alpha Jet",Alpha Jet,AJET,Landplane,Medium,5000,48000,,
"AS02, FFA, AS-202-15 Bravo",AS-202-15 Bravo,AS02,Landplane,Light,700,,,
"AS02, FFA, AS-202-26 Bravo",AS-202-26 Bravo,AS02,Landplane,Light,700,,,
AS25,ASH-25E,AS25,Landplane,Light,,,,
"AS25, SCHLEICHER, ASH-25E",ASH-25E,AS25,Landplane,Light,,,,
AS32,AS-332L Super Puma,AS32,Helicopter,Medium,1200,15100,,
"AS32, AEROSPATIALE, AS-332 Super Puma",AS-332L Super Puma,AS32,Helicopter,Medium,1200,15100,,
"AS32, AEROSPATIALE, AS-332L Super Puma",AS-332L Super Puma,AS32,Helicopter,Medium,1200,15100,,
"AS3B, AEROSPATIALE, Super Puma Mk2",AS-332L2 Super Puma Mk2,AS3B,Helicopter,Medium,1300,17000,,
AS350,AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
AS350 EUROCOPTER AS350,AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
"AS350, EUROCOPTER, AS350",AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
"AS350,AS350",AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
AS50,AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
AS50 AEROSPATIALE AS-350 AStar,AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
"AS50, AEROSPATIALE, AS-350 AStar",AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
"AS50, AEROSPATIALE, AS-350 Ecureuil",AS-350 Ecureuil,AS50,Helicopter,Light,1000,17300,,
"AS50, AEROSPATIALE, AS-350 SuperStar",AS-350 SuperStar,AS50,Helicopter,Light,1000,17300,,
"AS50, EUROCOPTER, AS-350 AStar",AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
"AS50, EUROCOPTER, AStar",AStar,AS50,Helicopter,Light,1000,17300,,
"AS50,AS-350 AStar",AS-350 AStar,AS50,Helicopter,Light,1000,17300,,
