X_id,alt_feet,AGL_MSL,ele,AGL_Adj_alt,,,,,,,,,,,,,,
5d2de0d02834ae4512fd68a7,16000,,695.1,16000,,,,,,,,,,,,,,
5d2de1612834ae4512fee47f,8000,,474.2,8000,,,,,,,,,,,,,,
5d2de1612834ae4512fee47e,1500,,486.9,1500,,,,,,,,,,,,,,
5d2de1612834ae4512fee43d,8500,,,8500,,,,,,,,,,,,,,
5d2de1612834ae4512fee421,1500,AGL,12.6,1512.6,,,,,,,,,,,,,,
5d2de1612834ae4512fee47d,,,120.9,,,,,,,,,,,,,,,
5d2de1612834ae4512fee420,5000,,62.2,5000,,,,,,,,,,,,,,
5d2de1612834ae4512fee441,,,96.4,,,,,,,,,,,,,,,
5d2de1612834ae4512fee445,2000,AGL,34.8,2034.8,,,,,,,,,,,,,,
5d2de1612834ae4512fee440,3000,,26.4,3000,,,,,,,,,,,,,,
5d2de1612834ae4512fee480,4000,,54,4000,,,,,,,,,,,,,,
5d2de1612834ae4512fee448,12000,MSL,,12000,,,,,,,,,,,,,,
5d2de1622834ae4512fee848,1100,,221.4,1100,,,,,,,,,,,,,,
5d2de1632834ae4512fee9d7,6500,,4472.5,6500,,,,,,,,,,,,,,
5d2de1632834ae4512feea92,3000,,,3000,,,,,,,,,,,,,,
5d2de1642834ae4512feeb43,8500,,,8500,,,,,,,,,,,,,,
5d2de1632834ae4512fee93a,2500,AGL,958,3458,,,,,,,,,,,,,,
5d2de1632834ae4512fee993,10000,,,10000,,,,,,,,,,,,,,
5d2de1622834ae4512fee873,38000,,860.7,38000,,,,,,,,,,,,,,
5d2de1632834ae4512feea2e,5500,,30.8,5500,,,,,,,,,,,,,,
5d2de1632834ae4512fee971,4000,MSL,,4000,,,,,,,,,,,,,,
5d2de1632834ae4512fee972,3000,AGL,21.98,3021.98,,,,,,,,,,,,,,
5d2de1642834ae4512feeac9,6000,,46.3,6000,,,,,,,,,,,,,,
5d2de1642834ae4512feeb4d,4200,,12.6,4200,,,,,,,,,,,,,,
5d2de1632834ae4512fee9b6,8000,,8.5,8000,,,,,,,,,,,,,,
5d2de1642834ae4512feeb51,11800,,2181.2,11800,,,,,,,,,,,,,,
5d2de1642834ae4512feeac1,6000,,46.3,6000,,,,,,,,,,,,,,
5d2de1632834ae4512fee902,26000,,860.7,26000,,,,,,,,,,,,,,
5d2de1642834ae4512feeb45,3000,AGL,535,3535,,,,,,,,,,,,,,
5d2de1632834ae4512fee968,4000,MSL,,4000,,,,,,,,,,,,,,
5d2de1632834ae4512fee8ac,4500,,541.5,4500,,,,,,,,,,,,,,
5d2de1642834ae4512feeaf9,1000,AGL,5.5,1005.5,,,,,,,,,,,,,,
5d2de1642834ae4512feeca4,36000,,,36000,,,,,,,,,,,,,,
5d2de1642834ae4512feedd7,3500,,1098.8,3500,,,,,,,,,,,,,,
5d2de1652834ae4512feef36,4500,,,4500,,,,,,,,,,,,,,
5d2de1652834ae4512feee39,10000,,,10000,,,,,,,,,,,,,,
5d2de1652834ae4512feefb7,13000,,5433.8,13000,,,,,,,,,,,,,,
5d2de1652834ae4512fef00d,,,618,,,,,,,,,,,,,,,
5d2de1642834ae4512feebe2,5000,MSL,,5000,,,,,,,,,,,,,,
5d2de1642834ae4512feedd4,3000,,1268.3,3000,,,,,,,,,,,,,,
5d2de1652834ae4512feeecf,1200,,,1200,,,,,,,,,,,,,,
5d2de1642834ae4512feee06,4800,,2181.2,4800,,,,,,,,,,,,,,
5d2de1652834ae4512feeea6,4000,,9.6,4000,,,,,,,,,,,,,,
5d2de1642834ae4512feeccc,2000,,680,2000,,,,,,,,,,,,,,
5d2de1642834ae4512feed5e,10000,,9,10000,,,,,,,,,,,,,,
5d2de1652834ae4512feee26,,,12.6,,,,,,,,,,,,,,,
5d2de1652834ae4512feee86,32000,,354.8,32000,,,,,,,,,,,,,,
5d2de1642834ae4512feeda9,8000,,127.8,8000,,,,,,,,,,,,,,
5d2de1642834ae4512feed27,1700,,541.5,1700,,,,,,,,,,,,,,
5d2de1652834ae4512feee28,34000,,421.4,34000,,,,,,,,,,,,,,
5d2de1652834ae4512feeeb2,2000,,,2000,,,,,,,,,,,,,,
5d2de1652834ae4512feeeb6,6000,,4496.9,6000,,,,,,,,,,,,,,
5d2de1652834ae4512feeec3,4000,,,4000,,,,,,,,,,,,,,
5d2de1652834ae4512fef02d,2400,,873.9,2400,,,,,,,,,,,,,,
5d2de1652834ae4512feefb4,4500,MSL,944.1,4500,,,,,,,,,,,,,,
5d2de1642834ae4512feeb9c,6000,MSL,,6000,,,,,,,,,,,,,,
5d2de1642834ae4512feed0d,2100,,650,2100,,,,,,,,,,,,,,
5d2de1642834ae4512feed09,2500,AGL,944.1,3444.1,,,,,,,,,,,,,,
5d2de1652834ae4512feee5f,33000,,389.5,33000,,,,,,,,,,,,,,
