X_id,date,lon_x,lat_x,station,valid,lon_y,lat_y,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
5d2de16b2834ae4512ff0117,2011-02-04T09:59:00.000Z,-95.0487578,41.40384066,ACY,2/4/2011 9:54,-74.5772,39.4576,24.98,15.08,65.58,260,4,M,30.36,1028.2,10,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,19.22,KACY 040954Z 26004KT 10SM CLR M04/M09 A3036 RMK AO2 SLP282 T10391094
5d2de4422834ae45120637fc,2014-10-31T05:46:00.000Z,-74.57716822,39.45759132,ACY,10/31/2014 4:54,-74.5772,39.4576,39.92,35.06,82.6,310,3,0,30.03,1016.8,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.74,KACY 310454Z 31003KT 10SM CLR 04/02 A3003 RMK AO2 SLP168 T00440017 401610044
5d2de2482834ae45120141e8,2014-10-31T08:00:00.000Z,-74.57716822,39.45759132,ACY,10/31/2014 7:54,-74.5772,39.4576,37.94,33.08,82.46,0,0,0,30,1015.8,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.94,KACY 310754Z 00000KT 10SM CLR 03/01 A3000 RMK AO2 SLP158 T00330006
5d2de25b2834ae4512017a90,2014-11-11T04:15:00.000Z,,,ACY,11/11/2014 3:54,-74.5772,39.4576,39.92,37.04,89.34,0,0,0,30.14,1020.5,9,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.92,KACY 110354Z 00000KT 9SM CLR 04/03 A3014 RMK AO2 SLP205 T00440028
5d2de25c2834ae4512017cb5,2014-11-22T09:23:00.000Z,-74.57716822,39.45759132,ACY,11/22/2014 8:54,-74.5772,39.4576,21.02,12.02,67.71,0,0,0,30.53,1033.8,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.02,KACY 220854Z 00000KT 10SM CLR M06/M11 A3053 RMK AO2 SLP338 T10611111 58004
5d2de24a2834ae4512014b32,2014-11-22T09:30:00.000Z,-74.57716822,39.45759132,ACY,11/22/2014 8:54,-74.5772,39.4576,21.02,12.02,67.71,0,0,0,30.53,1033.8,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.02,KACY 220854Z 00000KT 10SM CLR M06/M11 A3053 RMK AO2 SLP338 T10611111 58004
5d2de25d2834ae4512017ec5,2014-12-04T08:07:00.000Z,-74.57716822,39.45759132,ACY,12/4/2014 7:54,-74.5772,39.4576,35.96,26.06,66.97,240,3,0,30.33,1027.2,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.22,KACY 040754Z 24003KT 10SM CLR 02/M03 A3033 RMK AO2 SLP272 T00221033
5d2de2732834ae451201b2f9,2015-10-31T06:46:00.000Z,-74.57716822,39.45759132,ACY,10/31/2015 5:54,-74.5772,39.4576,37.94,33.08,82.46,0,0,0,30.13,1020.4,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.94,KACY 310554Z 00000KT 10SM CLR 03/01 A3013 RMK AO2 SLP204 T00330006 10100 20022 55003
5d2de28f2834ae451201efbf,2015-12-07T05:12:00.000Z,-74.57716822,39.45759132,ACY,12/7/2015 4:54,-74.5772,39.4576,35.96,32,85.37,0,0,0,30.29,1025.8,6,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,35.96,KACY 070454Z 00000KT 6SM BR CLR 02/00 A3029 RMK AO2 SLP258 T00220000 401281028
5d2de2a62834ae4512023564,2016-06-30T07:45:00.000Z,-74.57716822,39.45759132,ACY,6/30/2016 7:45,-74.5772,39.4576,M,M,M,310,5,M,29.99,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KACY 300745Z AUTO 31005KT 10SM CLR 17/13 A2999 RMK T01700130 MADISHF
5d2de35a2834ae4512041156,2014-10-29T05:41:00.000Z,-74.57716822,39.45759132,ACY,10/29/2014 4:54,-74.5772,39.4576,64.04,57.92,80.49,190,4,0,29.94,1013.8,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.04,KACY 290454Z 19004KT 10SM CLR 18/14 A2994 RMK AO2 SLP138 T01780144 402330067 $
5d2de2ab2834ae45120244c7,2016-12-25T07:44:00.000Z,-74.57716822,39.45759132,ACY,12/25/2016 7:40,-74.5772,39.4576,M,M,M,290,4,M,30.35,M,5,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KACY 250740Z AUTO 29004KT 5SM BR CLR A3035 RMK MADISHF
5d2de32f2834ae451203990c,2018-12-12T04:15:00.000Z,-74.57716822,39.45759132,ACY,12/12/2018 4:15,-74.5772,39.4576,M,M,M,0,0,M,30.02,M,9,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KACY 120415Z AUTO 00000KT 9SM CLR M03/M07 A3002 RMK T10301070 MADISHF
5d2de3372834ae451203b0d8,2018-12-20T05:31:00.000Z,-74.57716822,39.45759132,ACY,12/20/2018 5:30,-74.5772,39.4576,M,M,M,0,0,M,30.13,M,8,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KACY 200530Z AUTO 00000KT 8SM CLR M03/M04 A3012 RMK T10301040 MADISHF
5d44dfaffacb8fcc57f12b3d,2019-08-03T00:49:14.000Z,-74.57716822,39.45759132,ACY,8/3/2019 0:45,-74.5772,39.4576,M,M,M,0,0,M,30.09,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KACY 030045Z AUTO 00000KT 10SM CLR 25/21 A3009 RMK T02500210 MADISHF
5db3af65f81f44331ed58b01,2019-10-26T02:24:00.000Z,-74.57716822,39.45759132,ACY,10/26/2019 2:20,-74.5772,39.4576,M,M,M,230,5,M,30.2,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KACY 260220Z AUTO 23005KT 10SM CLR 16/14 A3020 RMK T01600140 MADISHF
5e2647b836036dad442f1bc3,2020-01-20T23:36:00.000Z,-95.0487578,41.40384066,ACY,1/20/2020 22:54,-74.5772,39.4576,27,5,38.44,320,7,0,30.34,1027.5,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.68,KACY 202254Z 32007KT 10SM CLR M03/M15 A3034 RMK AO2 SLP275 T10281150 $
5e59d62ed4cd0bdec7fec2fe,2020-02-29T03:07:00.000Z,-74.57716822,39.45759132,ACY,2/29/2020 2:54,-74.5772,39.4576,37.9,26.1,62.14,260,7,0,29.87,1011.6,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.97,KACY 290254Z 26007KT 10SM CLR 03/M03 A2987 RMK AO2 SLP116 T00331033 51010 $
